Player,Position,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),Sprint Distance (m)
Hana,D,6/24 FrankfurtU20 3,740.0,,52.857142857142854,6.8,1.0
Hana,D,6/24 FrankfurtU20 4,680.0,,61.81818181818182,8.0,10.0
Hana,D,6/24 FrankfurtU20 total,3420.0,,55.16129032258065,8.4,34.0
Hana,D,7/18 Training 1,510.0,5.0,56.666666666666664,6.2,1.0
Hana,D,7/18 Training 2,510.0,5.0,46.36363636363637,6.2,1.0
Hana,D,7/18 Training 3,310.0,5.0,31.0,3.2,0.0
Hana,D,7/18 Training 4,400.0,5.0,40.0,5.1,0.0
Hana,D,7/18 Training 5,580.0,5.0,48.333333333333336,9.1,24.0
Hana,D,7/18 Training 6,530.0,5.0,48.18181818181818,6.7,1.0
Hana,D,7/18 Training 7,360.0,5.0,51.42857142857143,5.9,0.0
Hana,D,7/18 Training 8,530.0,5.0,48.18181818181818,5.1,0.0
Hana,D,7/18 Training 9,400.0,5.0,57.142857142857146,6.3,3.0
Hana,D,7/18 Training 10,340.0,5.0,56.666666666666664,5.3,0.0
Hana,D,7/18 Training 11,350.0,5.0,58.333333333333336,4.6,0.0
Hana,D,7/18 Training 12,390.0,5.0,55.714285714285715,5.0,0.0
Hana,D,7/18 Training Total,5210.0,5.0,48.691588785046726,9.1,30.0
Hana,D,7/18 Game 1,1050.0,6.0,65.625,6.5,11.0
Hana,D,7/18 Game 2,960.0,6.0,60.0,7.2,38.0
Hana,D,7/18 Game 3,770.0,6.0,48.125,6.3,5.0
Hana,D,7/18 Game 4,1500.0,6.0,55.55555555555556,6.1,1.0
Hana,D,7/18 Game Total,4280.0,6.0,57.06666666666667,7.2,55.0
Hana,D,7/19 Training 1,350.0,7.0,58.333333333333336,4.8,0.0
Hana,D,7/19 Training 2,210.0,7.0,42.0,6.6,2.0
Hana,D,7/19 Training 3,310.0,7.0,44.285714285714285,4.5,0.0
Hana,D,7/19 Training 4,330.0,7.0,47.142857142857146,7.0,12.0
Hana,D,7/19 Training 5,450.0,7.0,26.470588235294116,5.3,0.0
Hana,D,7/19 Training 6,360.0,7.0,32.72727272727273,7.7,6.0
Hana,D,7/19 Training 7,190.0,7.0,27.142857142857142,3.3,0.0
Hana,D,7/19 Training 8,90.0,7.0,12.857142857142858,1.9,0.0
Hana,D,7/19 Training Total,2290.0,7.0,34.17910447761194,7.7,20.0
Hana,D,7/19 Game 1,1120.0,7.0,62.22222222222222,6.7,11.0
Hana,D,7/19 Game 2,1200.0,7.0,57.142857142857146,6.7,11.0
Hana,D,7/19 Game Total,2320.0,7.0,59.48717948717949,6.7,22.0
Mary,M,8/15 Training 1,430.0,4.0,35.833333333333336,4.8,0.0
Mary,M,8/15 Training 2,0.0,4.0,,0.0,0.0
Mary,M,8/15 Training 3,0.0,4.0,,0.0,0.0
Mary,M,8/15 Training total,430.0,4.0,35.833333333333336,4.8,0.0
Mary,M,8/16 Training 1,1650.0,7.0,78.57142857142857,9.9,144.0
Mary,M,8/16 Training 2,430.0,7.0,53.75,7.3,9.0
Mary,M,8/16 Training 3,570.0,7.0,81.42857142857143,8.3,29.0
Mary,M,8/16 Training 4,490.0,7.0,61.25,9.3,58.0
Mary,M,8/16 Training 5,450.0,7.0,64.28571428571429,6.2,2.0
Mary,M,8/16 Training 6,370.0,7.0,52.857142857142854,6.6,7.0
Mary,M,8/16 Training 7,420.0,7.0,46.666666666666664,6.9,5.0
Mary,M,8/16 Training 8,680.0,7.0,61.81818181818182,5.5,0.0
Mary,M,8/16 Training 9,400.0,7.0,50.0,4.9,0.0
Mary,M,8/16 Training 10,670.0,7.0,60.90909090909091,6.4,3.0
Mary,M,8/16 Training 11,620.0,7.0,56.36363636363637,8.7,19.0
Mary,M,8/16 Training total,6750.0,7.0,62.5,9.9,276.0
Yuhan,M,1/10 Pre Game,1370.0,,52.69230769230769,5.4,0.0
Yuhan,M,1/10 九州 1,910.0,,53.529411764705884,6.2,1.0
Yuhan,M,1/10 九州 2,670.0,,44.666666666666664,8.7,12.0
Yuhan,M,1/10 九州 3,970.0,,57.05882352941177,7.1,10.0
Yuhan,M,1/10 九州 4,950.0,,59.375,6.9,23.0
Yuhan,M,1/10 九州 5,920.0,,61.333333333333336,6.4,3.0
Yuhan,M,1/10 Total,4420.0,,55.25,8.7,49.0
Yuhan,M,3/17 HK 1,5570.0,,55.7,9.5,135.0
Yuhan,M,3/17 HK 2,650.0,,46.42857142857143,6.5,8.0
Yuhan,M,3/17 Total,6220.0,,54.56140350877193,9.5,143.0
Yuhan,M,3/18 明治 1,670.0,,83.75,7.3,15.0
Yuhan,M,3/18 明治 2,670.0,,83.75,7.8,20.0
Yuhan,M,3/18 明治 3,660.0,,82.5,8.3,13.0
Yuhan,M,3/18 明治 4,690.0,,76.66666666666667,6.6,19.0
Yuhan,M,3/18 Total,2690.0,,81.51515151515152,8.3,67.0
Yuhan,M,3/19 Revengers 1,740.0,,82.22222222222223,7.4,10.0
Yuhan,M,3/19 Revengers 2,730.0,,81.11111111111111,6.2,1.0
Yuhan,M,3/19 Revengers 3,750.0,,83.33333333333333,7.9,18.0
Yuhan,M,3/19 Revengers 4,670.0,,74.44444444444444,5.8,0.0
Yuhan,M,3/19 Total,2890.0,,80.27777777777777,7.9,29.0
Mary,M,6/18 1,920.0,,70.76923076923077,7.8,20.0
Mary,M,6/18 2,1090.0,,64.11764705882354,6.9,16.0
Mary,M,6/18 3,1110.0,,74.0,7.5,21.0
Mary,M,6/18 4,1150.0,,57.5,8.6,36.0
Mary,M,6/18 total,4270.0,,65.6923076923077,8.6,93.0
Mary,M,6/19 Switzerland 1,1050.0,,65.625,7.2,26.0
Mary,M,6/19 Switzerland 2,1070.0,,48.63636363636363,7.0,15.0
Mary,M,6/19 Switzerland 3,1560.0,,60.0,8.7,52.0
Mary,M,6/19 Switzerland 4,1050.0,,47.72727272727273,6.2,2.0
Mary,M,6/19 Switzerland total,4730.0,,55.0,8.7,95.0
Mary,M,6/20 Germany 1,1330.0,,83.125,7.0,9.0
Mary,M,6/20 Germany 2,1170.0,,58.5,6.3,3.0
Mary,M,6/20 Germany 3,540.0,,41.53846153846154,5.3,0.0
Mary,M,6/20 Germany 4,660.0,,34.73684210526316,6.5,5.0
Mary,M,6/20 Germany total,3700.0,,54.411764705882355,7.0,17.0
Mary,M,6/21 Germany 1,860.0,5.0,66.15384615384616,7.3,33.0
Mary,M,6/21 Germany 2,150.0,5.0,21.428571428571427,3.5,0.0
Mary,M,6/21 Germany 3,520.0,5.0,43.333333333333336,7.5,29.0
Mary,M,6/21 Germany 4,780.0,5.0,70.9090909090909,7.6,24.0
Mary,M,6/21 Germany 5,980.0,5.0,75.38461538461539,8.7,17.0
Mary,M,6/21 Germany 6,560.0,5.0,62.22222222222222,8.8,18.0
Mary,M,6/21 Germany 7,700.0,5.0,63.63636363636363,6.3,4.0
Mary,M,6/21 Germany 8,410.0,5.0,31.53846153846154,6.8,18.0
Mary,M,6/21 Germany total,4960.0,5.0,55.73033707865169,8.8,143.0
Mary,M,7/18 Training 1,550.0,6.0,61.111111111111114,5.8,0.0
Mary,M,7/18 Training 2,580.0,6.0,52.72727272727273,6.2,2.0
Mary,M,7/18 Training 3,370.0,6.0,37.0,4.0,0.0
Mary,M,7/18 Training 4,430.0,6.0,43.0,5.7,0.0
Mary,M,7/18 Training 5,820.0,6.0,68.33333333333333,6.6,8.0
Mary,M,7/18 Training 6,780.0,6.0,70.9090909090909,8.0,64.0
Mary,M,7/18 Training 7,600.0,6.0,85.71428571428571,6.5,2.0
Mary,M,7/18 Training 8,490.0,6.0,44.54545454545455,6.6,2.0
Mary,M,7/18 Training 9,530.0,6.0,75.71428571428571,6.3,2.0
Mary,M,7/18 Training 10,360.0,6.0,60.0,4.6,0.0
Mary,M,7/18 Training 11,370.0,6.0,61.666666666666664,5.9,0.0
Mary,M,7/18 Training 12,480.0,6.0,68.57142857142857,6.0,1.0
Mary,M,7/18 Training Total,6360.0,6.0,59.4392523364486,8.0,81.0
Mary,M,7/18 Game 1,1400.0,9.0,87.5,8.1,29.0
